Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
18,31/03/18,Man United,Swansea,2,0,H,2,0,H,R Madley
18,31/03/18,Newcastle,Huddersfield,1,0,H,0,0,D,M Atkinson
18,31/03/18,Watford,Bournemouth,2,2,D,1,1,D,A Marriner
18,31/03/18,West Brom,Burnley,1,2,A,0,1,A,L Probert
18,31/03/18,West Ham,Southampton,3,0,H,3,0,H,J Moss
18,1/4/2018,Arsenal,Stoke,3,0,H,0,0,D,C Pawson
18,1/4/2018,Chelsea,Tottenham,1,3,A,1,1,D,A Marriner
18,7/4/2018,Bournemouth,Crystal Palace,2,2,D,0,0,D,J Moss
18,7/4/2018,Brighton,Huddersfield,1,1,D,1,1,D,A Taylor
18,7/4/2018,Everton,Liverpool,0,0,D,0,0,D,M Oliver
18,7/4/2018,Leicester,Newcastle,1,2,A,0,1,A,S Attwell
18,7/4/2018,Man City,Man United,2,3,A,2,0,H,M Atkinson
18,7/4/2018,Stoke,Tottenham,1,2,A,0,0,D,G Scott
18,7/4/2018,Watford,Burnley,1,2,A,0,0,D,P Tierney
18,7/4/2018,West Brom,Swansea,1,1,D,0,0,D,R East
18,8/4/2018,Arsenal,Southampton,3,2,H,2,1,H,A Marriner
18,8/4/2018,Chelsea,West Ham,1,1,D,1,0,H,K Friend
18,14/04/18,Burnley,Leicester,2,1,H,2,0,H,M Atkinson
18,14/04/18,Crystal Palace,Brighton,3,2,H,3,2,H,A Marriner
18,14/04/18,Huddersfield,Watford,1,0,H,0,0,D,C Pawson
18,14/04/18,Liverpool,Bournemouth,3,0,H,1,0,H,C Kavanagh
18,14/04/18,Southampton,Chelsea,2,3,A,1,0,H,M Dean
18,14/04/18,Swansea,Everton,1,1,D,0,1,A,L Mason
18,14/04/18,Tottenham,Man City,1,3,A,1,2,A,J Moss
18,15/04/18,Man United,West Brom,0,1,A,0,0,D,P Tierney
18,15/04/18,Newcastle,Arsenal,2,1,H,1,1,D,A Taylor
18,16/04/18,West Ham,Stoke,1,1,D,0,0,D,M Oliver
18,17/04/18,Brighton,Tottenham,1,1,D,0,0,D,K Friend
18,18/04/18,Bournemouth,Man United,0,2,A,0,1,A,G Scott
18,19/04/18,Burnley,Chelsea,1,2,A,0,1,A,R Madley
18,19/04/18,Leicester,Southampton,0,0,D,0,0,D,R East
18,21/04/18,Watford,Crystal Palace,0,0,D,0,0,D,C Kavanagh
18,21/04/18,West Brom,Liverpool,2,2,D,0,1,A,S Attwell
18,22/04/18,Arsenal,West Ham,4,1,H,0,0,D,L Mason
18,22/04/18,Man City,Swansea,5,0,H,2,0,H,C Pawson
18,22/04/18,Stoke,Burnley,1,1,D,1,0,H,M Dean
18,23/04/18,Everton,Newcastle,1,0,H,0,0,D,R Madley
18,28/04/18,Burnley,Brighton,0,0,D,0,0,D,R East
18,28/04/18,Crystal Palace,Leicester,5,0,H,2,0,H,M Dean
18,28/04/18,Huddersfield,Everton,0,2,A,0,1,A,L Probert
18,28/04/18,Liverpool,Stoke,0,0,D,0,0,D,A Marriner
18,28/04/18,Newcastle,West Brom,0,1,A,0,1,A,D Coote
18,28/04/18,Southampton,Bournemouth,2,1,H,1,1,D,A Taylor
18,28/04/18,Swansea,Chelsea,0,1,A,0,1,A,J Moss
18,29/04/18,Man United,Arsenal,2,1,H,1,0,H,K Friend
18,29/04/18,West Ham,Man City,1,4,A,1,2,A,N Swarbrick
18,30/04/18,Tottenham,Watford,2,0,H,1,0,H,M Oliver
18,4/5/2018,Brighton,Man United,1,0,H,0,0,D,C Pawson
18,5/5/2018,Bournemouth,Swansea,1,0,H,1,0,H,K Friend
18,5/5/2018,Everton,Southampton,1,1,D,0,0,D,J Moss
18,5/5/2018,Leicester,West Ham,0,2,A,0,1,A,C Kavanagh
18,5/5/2018,Stoke,Crystal Palace,1,2,A,1,0,H,M Atkinson
18,5/5/2018,Watford,Newcastle,2,1,H,2,0,H,R East
18,5/5/2018,West Brom,Tottenham,1,0,H,0,0,D,M Jones
18,6/5/2018,Arsenal,Burnley,5,0,H,2,0,H,A Marriner
18,6/5/2018,Chelsea,Liverpool,1,0,H,1,0,H,A Taylor
18,6/5/2018,Man City,Huddersfield,0,0,D,0,0,D,M Dean
18,8/5/2018,Swansea,Southampton,0,1,A,0,0,D,M Oliver
18,9/5/2018,Chelsea,Huddersfield,1,1,D,0,0,D,L Mason
18,9/5/2018,Leicester,Arsenal,3,1,H,1,0,H,G Scott
18,9/5/2018,Man City,Brighton,3,1,H,2,1,H,P Tierney
18,9/5/2018,Tottenham,Newcastle,1,0,H,0,0,D,N Swarbrick
